angle,intensity
1.000000000000000000e+01,6.407714096045262764e-01
1.002000571591883471e+01,1.298480744323223357e+00
1.004001143183766764e+01,7.601042664250923231e-01
1.006001714775650235e+01,8.867312679841643508e-01
1.008002286367533529e+01,5.563123404663735672e-01
1.010002857959417000e+01,1.421156224727366801e+00
1.012003429551300293e+01,6.103427622607143777e-01
1.014004001143183764e+01,1.067041353628035205e+00
1.016004572735067235e+01,1.189437543852536416e+00
1.018005144326950528e+01,8.733125586364949289e-01
1.020005715918833999e+01,4.120559071979082444e-01
1.022006287510717293e+01,1.935538020594908426e+00
1.024006859102600764e+01,1.922004118379873949e+00
1.026007430694484057e+01,1.874856080435899797e+00
1.028008002286367528e+01,4.558478355565563356e-01
1.030008573878250999e+01,6.019475210786492392e-01
1.032009145470134293e+01,6.752840825008958880e-01
1.034009717062017764e+01,1.555683318293161754e+00
1.036010288653901057e+01,1.592737220878853721e+00
1.038010860245784528e+01,7.466304697004273461e-01
1.040011431837667999e+01,8.695151396533760124e-01
1.042012003429551292e+01,1.086032714213130967e+00
1.044012575021434763e+01,1.328164412902280489e+00
1.046013146613318057e+01,2.254564885535563779e-01
1.048013718205201528e+01,7.520337659656707308e-01
1.050014289797084821e+01,4.465779979597888638e-01
1.052014861388968292e+01,1.666323805928594748e+00
1.054015432980851585e+01,8.441238678970732767e-01
1.056016004572735056e+01,1.712412754387969915e+00
1.058016576164618527e+01,1.777189516270601510e+00
1.060017147756501821e+01,1.708572641215808874e+00
1.062017719348385292e+01,1.798006505538353395e+00
1.064018290940268585e+01,5.272149096959621861e-01
1.066018862532152056e+01,3.163817451397015756e-01
1.068019434124035527e+01,1.131219785284292900e+00
1.070020005715918820e+01,3.485639747201814131e-01
1.072020577307802292e+01,3.298846804363407270e-01
1.074021148899685585e+01,5.658702355649893878e-01
1.076021720491569056e+01,6.819309244318362273e-01
1.078022292083452349e+01,1.945623150447866490e+00
1.080022863675335820e+01,1.176444063352872549e+00
1.082023435267219291e+01,1.890917897410714588e+00
1.084024006859102585e+01,1.365289338767795124e+00
1.086024578450986056e+01,6.148761963323612356e-01
1.088025150042869349e+01,1.860060433444603145e+00
1.090025721634752820e+01,4.691879573971030060e-01
1.092026293226636113e+01,5.042373644775142161e-01
1.094026864818519584e+01,2.070212801446242423e+00
1.096027436410403055e+01,1.569089697174748554e+00
1.098028008002286349e+01,6.209172283946629012e-01
1.100028579594169820e+01,1.784860100900457436e+00
1.102029151186053113e+01,1.715958868260491155e+00
1.104029722777936584e+01,1.326185217419309392e+00
1.106030294369819877e+01,7.929210861416683409e-01
1.108030865961703348e+01,1.338913887387716883e+00
1.110031437553586819e+01,6.358857844777584534e-01
1.112032009145470113e+01,1.345070026009851816e+00
1.114032580737353584e+01,8.312209267004773139e-01
1.116033152329236877e+01,1.230252474631403192e+00
1.118033723921120348e+01,8.090319461771008358e-01
1.120034295513003642e+01,1.138525336359851980e+00
1.122034867104887113e+01,1.830939971103946684e+00
1.124035438696770584e+01,1.260114462323986162e+00
1.126036010288653877e+01,1.329231900921106213e+00
1.128036581880537348e+01,2.288610066090298378e+00
1.130037153472420641e+01,1.822838037322685789e+00
1.132037725064304112e+01,1.158619798243601062e+00
1.134038296656187583e+01,1.208738540320691168e+00
1.136038868248070877e+01,1.979659502522479464e+00
1.138039439839954348e+01,2.047063680275444941e+00
1.140040011431837641e+01,1.536451628125298008e+00
1.142040583023721112e+01,1.927203650266184454e+00
1.144041154615604405e+01,2.048083598493850133e+00
1.146041726207487876e+01,1.345726075940208100e+00
1.148042297799371170e+01,1.442462629275523378e+00
1.150042869391254641e+01,1.693663729772840520e+00
1.152043440983138112e+01,6.500404185941178747e-01
1.154044012575021405e+01,6.864670013186846553e-01
1.156044584166904876e+01,1.020477267302019930e+00
1.158045155758788169e+01,1.810554156647721458e+00
1.160045727350671640e+01,1.207820573944807796e+00
1.162046298942555111e+01,9.813889595734401894e-01
1.164046870534438405e+01,1.392211498087918109e+00
1.166047442126321876e+01,1.385108365160136801e+00
1.168048013718205169e+01,1.708608329665694647e+00
1.170048585310088640e+01,1.976179705348856785e+00
1.172049156901971934e+01,2.154944429812369666e+00
1.174049728493855405e+01,2.450895264966912901e+00
1.176050300085738698e+01,2.257031069790587985e+00
1.178050871677622169e+01,2.352645407211081174e+00
1.180051443269505640e+01,2.227028094719995188e+00
1.182052014861388933e+01,1.317055126686672351e+00
1.184052586453272404e+01,1.414582312516329488e+00
1.186053158045155698e+01,2.253062085052059960e+00
1.188053729637039169e+01,9.789827883648549722e-01
1.190054301228922640e+01,1.672920067433167679e+00
1.192054872820805933e+01,1.782373317731508200e+00
1.194055444412689404e+01,1.665784271981801234e+00
1.196056016004572697e+01,1.805510379081804784e+00
1.198056587596456168e+01,1.712310726300737107e+00
1.200057159188339639e+01,2.386737178628796752e+00
1.202057730780222933e+01,2.492648733956647877e+00
1.204058302372106226e+01,1.219961980187242778e+00
1.206058873963989697e+01,2.166046198856488747e+00
1.208059445555873168e+01,1.827627407689775163e+00
1.210060017147756461e+01,1.815577300063688559e+00
1.212060588739639932e+01,8.128305283500486533e-01
1.214061160331523226e+01,9.732768169361987187e-01
1.216061731923406697e+01,1.852214654647203584e+00
1.218062303515290168e+01,1.341237365005172544e+00
1.220062875107173461e+01,1.689115587914119754e+00
1.222063446699056932e+01,1.878186242913232995e+00
1.224064018290940226e+01,2.397073172573454869e+00
1.226064589882823697e+01,1.895097174167882814e+00
1.228065161474707168e+01,2.231175128574996336e+00
1.230065733066590461e+01,1.407006711218612871e+00
1.232066304658473754e+01,1.733740987965653124e+00
1.234066876250357225e+01,2.620107883811939598e+00
1.236067447842240696e+01,2.611103313670496195e+00
1.238068019434123990e+01,1.155264125942265352e+00
1.240068591026007461e+01,1.723386356308360234e+00
1.242069162617890754e+01,9.900957279112071463e-01
1.244069734209774225e+01,2.337006043903838037e+00
1.246070305801657696e+01,2.624610909113070711e+00
1.248070877393540989e+01,1.187330671730705722e+00
1.250071448985424460e+01,1.240190611311336122e+00
1.252072020577307754e+01,1.141071548892323539e+00
1.254072592169191225e+01,1.151603750790356262e+00
1.256073163761074696e+01,2.337584633189974781e+00
1.258073735352957989e+01,1.200890350970651443e+00
1.260074306944841460e+01,2.128175207890818488e+00
1.262074878536724754e+01,1.465350179745626313e+00
1.264075450128608225e+01,2.322109424176304948e+00
1.266076021720491518e+01,1.761510152806076368e+00
1.268076593312374989e+01,2.006904386730031131e+00
1.270077164904258282e+01,2.285477540267597529e+00
1.272077736496141753e+01,1.064332953548412730e+00
1.274078308088025224e+01,2.105741850667384174e+00
1.276078879679908518e+01,2.162294095953707807e+00
1.278079451271791989e+01,2.531009795205064528e+00
1.280080022863675282e+01,1.183874345766267933e+00
1.282080594455558753e+01,1.915757309816829679e+00
1.284081166047442224e+01,1.487488380692304935e+00
1.286081737639325517e+01,1.614231072128003319e+00
1.288082309231208988e+01,1.227235126389127018e+00
1.290082880823092282e+01,1.374129750353372481e+00
1.292083452414975753e+01,2.054863097838479646e+00
1.294084024006859224e+01,2.604043801471953579e+00
1.296084595598742517e+01,1.510977647689191183e+00
1.298085167190625810e+01,2.476187069504649063e+00
1.300085738782509281e+01,1.192307306238594267e+00
1.302086310374392752e+01,1.033410774032752277e+00
1.304086881966276046e+01,1.089905737500316496e+00
1.306087453558159517e+01,1.853643753689320439e+00
1.308088025150042810e+01,1.578947609633392535e+00
1.310088596741926281e+01,1.951764984202000175e+00
1.312089168333809752e+01,1.564620191156570694e+00
1.314089739925693046e+01,2.496157760836032580e+00
1.316090311517576517e+01,1.243725411055313756e+00
1.318090883109459810e+01,1.166683245740206987e+00
1.320091454701343281e+01,1.108037012278802802e+00
1.322092026293226752e+01,2.213105970146800328e+00
1.324092597885110045e+01,1.757887304161664499e+00
1.326093169476993339e+01,2.884067492973024116e+00
1.328093741068876810e+01,2.082197949915238322e+00
1.330094312660760281e+01,2.408148004604071968e+00
1.332094884252643574e+01,2.532584983371586329e+00
1.334095455844527045e+01,2.807212610136859521e+00
1.336096027436410338e+01,2.651910088602786431e+00
1.338096599028293809e+01,1.677225057533006325e+00
1.340097170620177280e+01,1.464912793858963447e+00
1.342097742212060574e+01,2.682707169232296796e+00
1.344098313803944045e+01,2.116499175657611698e+00
1.346098885395827338e+01,1.788140765992197290e+00
1.348099456987710809e+01,2.614696422634794182e+00
1.350100028579594280e+01,2.465099825692747437e+00
1.352100600171477573e+01,2.618554635713025824e+00
1.354101171763361044e+01,1.196931314521468614e+00
1.356101743355244338e+01,1.366945486768360363e+00
1.358102314947127809e+01,2.117583375956279212e+00
1.360102886539011102e+01,2.545592543406804076e+00
1.362103458130894573e+01,2.304687206176269765e+00
1.364104029722777867e+01,2.933365228931368751e+00
1.366104601314661338e+01,2.361310531760286491e+00
1.368105172906544809e+01,1.767006708493277234e+00
1.370105744498428102e+01,1.197078112095404823e+00
1.372106316090311573e+01,2.937686282318102915e+00
1.374106887682194866e+01,1.932165209423465368e+00
1.376107459274078337e+01,2.497869024472955779e+00
1.378108030865961808e+01,1.877672582986310790e+00
1.380108602457845102e+01,1.526741841501904950e+00
1.382109174049728573e+01,2.403443501374625590e+00
1.384109745641611866e+01,1.767400250005981555e+00
1.386110317233495337e+01,2.755181940070493773e+00
1.388110888825378808e+01,1.884842408487160004e+00
1.390111460417262101e+01,2.759733966427679430e+00
1.392112032009145395e+01,1.473760977456012533e+00
1.394112603601028866e+01,2.350718958320687335e+00
1.396113175192912337e+01,2.185775338908885868e+00
1.398113746784795630e+01,2.357009016211583319e+00
1.400114318376679101e+01,3.081619018170956625e+00
1.402114889968562395e+01,1.879342255407986828e+00
1.404115461560445866e+01,3.047813045380252106e+00
1.406116033152329337e+01,1.424600572299754342e+00
1.408116604744212630e+01,2.038141126047600782e+00
1.410117176336095923e+01,2.706823769875023711e+00
1.412117747927979394e+01,1.838738182932591503e+00
1.414118319519862865e+01,1.747528906940174709e+00
1.416118891111746336e+01,2.893251244546567680e+00
1.418119462703629630e+01,2.455433023182294505e+00
1.420120034295512923e+01,2.706630630810270333e+00
1.422120605887396394e+01,1.774836669778552256e+00
1.424121177479279865e+01,1.628177635019390168e+00
1.426121749071163336e+01,3.110983532762333859e+00
1.428122320663046629e+01,2.116626011455197354e+00
1.430122892254929923e+01,1.551664610329019922e+00
1.432123463846813394e+01,1.889446681631008040e+00
1.434124035438696865e+01,3.058638258331020321e+00
1.436124607030580158e+01,3.187968241417478144e+00
1.438125178622463629e+01,2.978916712639974040e+00
1.440125750214346922e+01,2.122941082045949113e+00
1.442126321806230393e+01,2.618261104502567438e+00
1.444126893398113864e+01,2.755292824807440866e+00
1.446127464989997158e+01,2.257644192119582005e+00
1.448128036581880451e+01,2.927952443954931372e+00
1.450128608173763922e+01,3.006107647561267804e+00
1.452129179765647393e+01,1.855690224797487353e+00
1.454129751357530864e+01,1.824373319631595658e+00
1.456130322949414158e+01,1.541346984968324785e+00
1.458130894541297451e+01,2.647562612867711884e+00
1.460131466133180922e+01,3.091781526356842225e+00
1.462132037725064393e+01,1.670471807052360758e+00
1.464132609316947686e+01,2.952457460033774073e+00
1.466133180908831157e+01,2.507050878838932739e+00
1.468133752500714451e+01,2.913129964136130123e+00
1.470134324092597922e+01,2.946457868231376231e+00
1.472134895684481393e+01,2.510815161805294071e+00
1.474135467276364686e+01,1.994675410032195950e+00
1.476136038868247979e+01,1.722907105785961734e+00
1.478136610460131450e+01,1.562132004214290326e+00
1.480137182052014921e+01,2.365690035498786425e+00
1.482137753643898392e+01,1.489347102032800185e+00
1.484138325235781686e+01,3.078516896397178293e+00
1.486138896827664979e+01,2.739527105243702909e+00
1.488139468419548450e+01,2.976680898063318370e+00
1.490140040011431921e+01,2.821152603313129781e+00
1.492140611603315392e+01,2.223728991442588399e+00
1.494141183195198685e+01,1.546679817704814663e+00
1.496141754787081979e+01,1.713571050702828558e+00
1.498142326378965450e+01,3.359687246268709959e+00
1.500142897970848921e+01,1.687511210427907304e+00
1.502143469562732214e+01,2.122487142836628315e+00
1.504144041154615508e+01,1.803997483295995297e+00
1.506144612746498979e+01,2.557818497520947254e+00
1.508145184338382450e+01,2.150091497506856797e+00
1.510145755930265921e+01,2.883010987525799873e+00
1.512146327522149214e+01,2.172910796143499024e+00
1.514146899114032507e+01,3.005763708380329025e+00
1.516147470705915978e+01,3.053032372670160921e+00
1.518148042297799449e+01,3.305522958738803307e+00
1.520148613889682920e+01,3.051766265236505404e+00
1.522149185481566214e+01,1.881177647646841367e+00
1.524149757073449507e+01,2.592968796110082685e+00
1.526150328665332978e+01,1.846781851433829891e+00
1.528150900257216449e+01,1.616402921108477830e+00
1.530151471849099742e+01,1.732089156355736348e+00
1.532152043440983036e+01,1.667177306506832268e+00
1.534152615032866507e+01,3.394297359544593551e+00
1.536153186624749978e+01,2.934685338693791667e+00
1.538153758216633449e+01,3.003702326890310470e+00
1.540154329808516742e+01,3.490166131164165630e+00
1.542154901400400036e+01,2.581776359486177785e+00
1.544155472992283507e+01,1.999286501248627612e+00
1.546156044584166978e+01,1.794171668360587502e+00
1.548156616176050449e+01,3.016651251755033236e+00
1.550157187767933742e+01,2.718311358780917342e+00
1.552157759359817035e+01,3.244168003580198523e+00
1.554158330951700506e+01,2.033796480961608033e+00
1.556158902543583977e+01,3.133153589248470094e+00
1.558159474135467271e+01,3.450351009455043361e+00
1.560160045727350742e+01,1.841143230088663874e+00
1.562160617319234035e+01,1.677553661723308442e+00
1.564161188911117506e+01,2.381566837959765870e+00
1.566161760503000977e+01,2.728178666046048750e+00
1.568162332094884270e+01,3.164425989018240681e+00
1.570162903686767564e+01,3.413756244572266230e+00
1.572163475278651035e+01,3.403811302775508363e+00
1.574164046870534506e+01,2.038249688616855515e+00
1.576164618462417977e+01,2.838896905779401791e+00
1.578165190054301270e+01,2.569769116414346577e+00
1.580165761646184563e+01,2.117119379735132423e+00
1.582166333238068034e+01,1.965331745874864477e+00
1.584166904829951505e+01,2.801404709897909129e+00
1.586167476421834799e+01,3.568152986611374811e+00
1.588168048013718270e+01,2.184906081323413574e+00
1.590168619605601563e+01,2.209114253174973008e+00
1.592169191197485034e+01,2.351642560246730351e+00
1.594169762789368505e+01,2.915096128483737559e+00
1.596170334381251799e+01,3.048493714504556085e+00
1.598170905973135092e+01,2.843638899509186135e+00
1.600171477565018563e+01,3.597321368173869605e+00
1.602172049156902034e+01,3.540199508974569031e+00
1.604172620748785505e+01,2.624379434536292965e+00
1.606173192340668976e+01,2.817239929026880585e+00
1.608173763932552092e+01,3.148828277297131883e+00
1.610174335524435563e+01,2.848497256334172167e+00
1.612174907116319034e+01,2.695022661899038496e+00
1.614175478708202505e+01,3.048503171202987527e+00
1.616176050300085620e+01,2.662642253779972545e+00
1.618176621891969091e+01,2.429323169126662130e+00
1.620177193483852562e+01,2.109813123800932555e+00
1.622177765075736033e+01,2.455911648259932800e+00
1.624178336667619504e+01,2.797584757779587594e+00
1.626178908259502620e+01,2.298940102915117745e+00
1.628179479851386091e+01,3.330008555844596874e+00
1.630180051443269562e+01,2.289290476134173691e+00
1.632180623035153033e+01,1.997462975596212553e+00
1.634181194627036149e+01,2.073272192340063658e+00
1.636181766218919620e+01,2.528324942635494121e+00
1.638182337810803091e+01,3.573556457114607010e+00
1.640182909402686562e+01,3.539084274802500207e+00
1.642183480994570033e+01,2.140376772293765217e+00
1.644184052586453504e+01,2.097740038821932718e+00
1.646184624178336620e+01,3.412248987561412594e+00
1.648185195770220091e+01,2.349585560699378739e+00
1.650185767362103562e+01,3.081485073550586318e+00
1.652186338953986677e+01,2.080386363786311588e+00
