angle,intensity
1.000000000000000000e+01,8.040880555483631564e-01
1.002000571591883471e+01,7.126877175941335185e-01
1.004001143183766764e+01,4.767780974004438010e-01
1.006001714775650235e+01,4.099649535484302665e-01
1.008002286367533529e+01,9.344294373724306713e-01
1.010002857959417000e+01,1.340645509628837884e+00
1.012003429551300293e+01,1.538146374320345622e+00
1.014004001143183764e+01,1.751282162681570664e+00
1.016004572735067235e+01,1.440028463428196570e+00
1.018005144326950528e+01,3.984628587058719473e-01
1.020005715918833999e+01,8.954156873836023323e-01
1.022006287510717293e+01,1.025425937492971284e+00
1.024006859102600764e+01,1.334128410463035763e+00
1.026007430694484057e+01,1.934380003529098335e+00
1.028008002286367528e+01,1.311412355178288358e+00
1.030008573878250999e+01,1.751535459850239729e+00
1.032009145470134293e+01,7.019941903691376828e-01
1.034009717062017764e+01,1.212371935535127454e+00
1.036010288653901057e+01,4.655354546438120744e-01
1.038010860245784528e+01,9.828370509705794955e-01
1.040011431837667999e+01,1.091493299112093363e+00
1.042012003429551292e+01,4.926130815452762213e-01
1.044012575021434763e+01,1.482729881734717203e+00
1.046013146613318057e+01,1.479890308368935203e+00
1.048013718205201528e+01,1.198495430275843709e+00
1.050014289797084821e+01,1.457044528805520045e+00
1.052014861388968292e+01,1.559634935505473941e+00
1.054015432980851585e+01,4.291238843963525729e-01
1.056016004572735056e+01,9.157501215357268798e-01
1.058016576164618527e+01,7.898664598131444059e-01
1.060017147756501821e+01,1.280868703770318806e+00
1.062017719348385292e+01,7.346552540255060215e-01
1.064018290940268585e+01,9.700014021291836208e-01
1.066018862532152056e+01,1.187483525018524277e+00
1.068019434124035527e+01,4.955733020089381213e-01
1.070020005715918820e+01,7.805565398730588411e-01
1.072020577307802292e+01,7.119216752023118655e-01
1.074021148899685585e+01,1.558591189607986038e+00
1.076021720491569056e+01,1.779074391372802211e+00
1.078022292083452349e+01,7.793845151329359400e-01
1.080022863675335820e+01,9.579252791386734245e-01
1.082023435267219291e+01,1.848154167334912445e+00
1.084024006859102585e+01,1.527165126336714085e+00
1.086024578450986056e+01,1.684578709863547186e+00
1.088025150042869349e+01,1.067293601442973028e+00
1.090025721634752820e+01,1.105988357190043736e+00
1.092026293226636113e+01,9.267463565548638149e-01
1.094026864818519584e+01,1.358909111049229512e+00
1.096027436410403055e+01,9.588970517739900945e-01
1.098028008002286349e+01,1.931065077330162527e+00
1.100028579594169820e+01,1.640556424884578757e+00
1.102029151186053113e+01,1.593397106697001631e+00
1.104029722777936584e+01,1.318110036492551984e+00
1.106030294369819877e+01,2.085110865161836635e+00
1.108030865961703348e+01,1.262629951999426403e+00
1.110031437553586819e+01,1.095773559383570461e+00
1.112032009145470113e+01,1.829460236277082874e+00
1.114032580737353584e+01,1.011463284445189625e+00
1.116033152329236877e+01,1.281418605397289356e+00
1.118033723921120348e+01,1.147538041173248313e+00
1.120034295513003642e+01,1.838423431777983730e+00
1.122034867104887113e+01,1.964415358611230733e+00
1.124035438696770584e+01,1.423737877105173855e+00
1.126036010288653877e+01,1.730389612916449771e+00
1.128036581880537348e+01,1.653445456218632703e+00
1.130037153472420641e+01,1.019849572211499078e+00
1.132037725064304112e+01,1.302933254871017521e+00
1.134038296656187583e+01,1.636786756989306202e+00
1.136038868248070877e+01,1.422202492755943126e+00
1.138039439839954348e+01,1.367149877001022640e+00
1.140040011431837641e+01,8.829682168314187951e-01
1.142040583023721112e+01,8.748102249061702196e-01
1.144041154615604405e+01,1.475201363842240099e+00
1.146041726207487876e+01,1.398776094632872891e+00
1.148042297799371170e+01,1.740801650929125977e+00
