angle,intensity
1.000000000000000000e+01,3.588525873843865899e+00
1.002000571591883471e+01,3.800632092067977919e+00
1.004001143183766764e+01,3.154278586676330320e+00
1.006001714775650235e+01,3.653752317067112454e+00
1.008002286367533529e+01,2.822279861802117207e+00
1.010002857959417000e+01,3.799590942792786308e+00
1.012003429551300293e+01,4.139226624199840998e+00
1.014004001143183764e+01,2.911052037899456657e+00
1.016004572735067235e+01,3.578106852739669108e+00
1.018005144326950528e+01,3.607755220236027682e+00
1.020005715918833999e+01,3.180524092069455300e+00
1.022006287510717293e+01,3.426222432543775120e+00
1.024006859102600764e+01,3.035466412794568303e+00
1.026007430694484057e+01,3.756527601064246547e+00
1.028008002286367528e+01,3.355737733051132210e+00
1.030008573878250999e+01,3.059724852145633722e+00
1.032009145470134293e+01,3.122387790062668866e+00
1.034009717062017764e+01,3.418537919070996800e+00
1.036010288653901057e+01,2.643255583440956347e+00
1.038010860245784528e+01,3.465479445935262692e+00
1.040011431837667999e+01,4.101654066206509519e+00
1.042012003429551292e+01,4.240562166911342246e+00
1.044012575021434763e+01,2.653535021417313455e+00
1.046013146613318057e+01,2.978485225141839887e+00
1.048013718205201528e+01,3.652249691131419063e+00
1.050014289797084821e+01,3.359748563831716162e+00
1.052014861388968292e+01,4.114403946706025827e+00
1.054015432980851585e+01,3.716035025692824512e+00
1.056016004572735056e+01,2.852536310020985511e+00
1.058016576164618527e+01,3.058906103747624616e+00
1.060017147756501821e+01,3.124982978641001719e+00
1.062017719348385292e+01,2.754081938574378885e+00
1.064018290940268585e+01,3.460016660345561323e+00
1.066018862532152056e+01,2.887534028829086719e+00
1.068019434124035527e+01,3.264754707839250258e+00
1.070020005715918820e+01,3.486680350528480687e+00
1.072020577307802292e+01,3.315161200764471516e+00
1.074021148899685585e+01,3.837290091189391461e+00
1.076021720491569056e+01,3.602917669991346994e+00
1.078022292083452349e+01,4.030046941020700046e+00
1.080022863675335820e+01,3.068375274965998933e+00
1.082023435267219291e+01,2.910973269021499998e+00
1.084024006859102585e+01,3.852835769224214779e+00
1.086024578450986056e+01,3.198425554690769168e+00
1.088025150042869349e+01,3.199791130067066280e+00
1.090025721634752820e+01,3.323056076735244613e+00
1.092026293226636113e+01,3.227578547209157378e+00
1.094026864818519584e+01,4.135423582402017573e+00
1.096027436410403055e+01,3.375556644167697851e+00
1.098028008002286349e+01,3.961042338881432201e+00
1.100028579594169820e+01,3.627055690935224064e+00
1.102029151186053113e+01,2.806026274698487644e+00
1.104029722777936584e+01,3.296016245850489579e+00
1.106030294369819877e+01,2.916122179814262694e+00
1.108030865961703348e+01,2.976912729194816531e+00
1.110031437553586819e+01,3.930534500725233027e+00
1.112032009145470113e+01,3.799494910119296964e+00
1.114032580737353584e+01,2.789483296913162214e+00
1.116033152329236877e+01,3.300888860289122650e+00
1.118033723921120348e+01,3.393458282726717901e+00
1.120034295513003642e+01,3.839854990518658973e+00
1.122034867104887113e+01,2.974302883247872398e+00
1.124035438696770584e+01,3.681595497877223622e+00
1.126036010288653877e+01,3.329395882377169436e+00
1.128036581880537348e+01,3.699160626225081128e+00
1.130037153472420641e+01,3.597104281049432029e+00
1.132037725064304112e+01,3.582179657316544752e+00
1.134038296656187583e+01,3.192893335329909377e+00
1.136038868248070877e+01,3.737978494219429848e+00
1.138039439839954348e+01,4.017533354444609905e+00
1.140040011431837641e+01,3.586997969663965780e+00
1.142040583023721112e+01,3.212131377726040959e+00
1.144041154615604405e+01,4.332018426277094214e+00
1.146041726207487876e+01,3.584885468950012921e+00
1.148042297799371170e+01,3.260940996141237669e+00
1.150042869391254641e+01,3.732052363595134814e+00
1.152043440983138112e+01,3.322741817933657860e+00
1.154044012575021405e+01,3.542912387049641953e+00
1.156044584166904876e+01,3.935849831475854987e+00
1.158045155758788169e+01,3.586233878682705267e+00
1.160045727350671640e+01,3.440122573511185777e+00
1.162046298942555111e+01,3.471078202651162847e+00
1.164046870534438405e+01,3.285296849308045442e+00
1.166047442126321876e+01,3.748326744526850440e+00
1.168048013718205169e+01,2.574283614186636093e+00
1.170048585310088640e+01,3.086030232488836678e+00
1.172049156901971934e+01,3.409582810106214446e+00
1.174049728493855405e+01,3.861030067004650679e+00
1.176050300085738698e+01,3.319436916707688923e+00
1.178050871677622169e+01,2.696760400676496694e+00
1.180051443269505640e+01,3.110562821188121774e+00
1.182052014861388933e+01,3.205211384314795353e+00
1.184052586453272404e+01,3.837931007823430107e+00
1.186053158045155698e+01,3.568281685527505687e+00
1.188053729637039169e+01,3.699358071273573856e+00
1.190054301228922640e+01,3.868694057064796077e+00
1.192054872820805933e+01,3.671300063382748391e+00
1.194055444412689404e+01,4.175840147887501352e+00
1.196056016004572697e+01,3.534020569603310236e+00
1.198056587596456168e+01,3.672311172645673860e+00
1.200057159188339639e+01,2.911447407851348590e+00
1.202057730780222933e+01,4.089045365087989659e+00
1.204058302372106226e+01,2.682365317304740149e+00
1.206058873963989697e+01,3.892451225681145655e+00
1.208059445555873168e+01,3.461243340364065002e+00
1.210060017147756461e+01,3.849313679871877003e+00
1.212060588739639932e+01,3.767485796472353599e+00
1.214061160331523226e+01,3.345003742376591038e+00
1.216061731923406697e+01,4.145958410850041354e+00
1.218062303515290168e+01,4.315451098433307209e+00
1.220062875107173461e+01,3.197692968335494434e+00
1.222063446699056932e+01,3.227535720135526809e+00
1.224064018290940226e+01,3.109388625025606423e+00
1.226064589882823697e+01,3.242664300753797413e+00
1.228065161474707168e+01,3.261786627295093055e+00
1.230065733066590461e+01,2.884437249030939565e+00
1.232066304658473754e+01,3.883630617734172397e+00
1.234066876250357225e+01,2.951701125683492855e+00
1.236067447842240696e+01,3.075278140678141536e+00
1.238068019434123990e+01,3.521985396220794762e+00
1.240068591026007461e+01,3.658541584661263002e+00
1.242069162617890754e+01,3.104492305589043433e+00
1.244069734209774225e+01,4.025964063140865967e+00
1.246070305801657696e+01,2.901547070700990716e+00
1.248070877393540989e+01,3.841113586626802245e+00
1.250071448985424460e+01,3.897531813312961280e+00
1.252072020577307754e+01,4.271966318955199071e+00
1.254072592169191225e+01,2.997524998333660484e+00
1.256073163761074696e+01,3.332109055754915783e+00
1.258073735352957989e+01,3.254559176235523488e+00
1.260074306944841460e+01,3.493764210946098014e+00
1.262074878536724754e+01,3.484002257538687530e+00
1.264075450128608225e+01,3.187936190524909286e+00
1.266076021720491518e+01,3.461753892396677301e+00
1.268076593312374989e+01,3.537320619615847317e+00
1.270077164904258282e+01,3.052770653900620523e+00
1.272077736496141753e+01,3.633093252446213395e+00
1.274078308088025224e+01,2.707893662415504554e+00
1.276078879679908518e+01,3.498727472144726569e+00
1.278079451271791989e+01,3.652554170906069597e+00
1.280080022863675282e+01,3.290659936725296664e+00
1.282080594455558753e+01,3.596509464614437768e+00
1.284081166047442224e+01,3.340952941380493701e+00
1.286081737639325517e+01,3.640195021853725343e+00
1.288082309231208988e+01,2.751543948813841567e+00
1.290082880823092282e+01,3.674405028571787746e+00
1.292083452414975753e+01,3.404982286783249990e+00
1.294084024006859224e+01,3.686710696506170226e+00
1.296084595598742517e+01,2.596157038310711762e+00
1.298085167190625810e+01,3.400645156003375913e+00
1.300085738782509281e+01,3.333244716013085807e+00
1.302086310374392752e+01,3.415795780308048091e+00
1.304086881966276046e+01,2.951832670809584780e+00
1.306087453558159517e+01,2.788953223478531473e+00
1.308088025150042810e+01,3.889294225160571550e+00
1.310088596741926281e+01,3.931036287071397073e+00
1.312089168333809752e+01,3.327595440999988163e+00
1.314089739925693046e+01,4.027420581632775942e+00
1.316090311517576517e+01,2.673442281653544583e+00
1.318090883109459810e+01,2.514495815548331237e+00
1.320091454701343281e+01,3.009013530767243871e+00
1.322092026293226752e+01,3.074303113751031269e+00
1.324092597885110045e+01,2.816970232320451739e+00
1.326093169476993339e+01,3.543527484452733134e+00
1.328093741068876810e+01,3.294815974263939573e+00
1.330094312660760281e+01,3.902361578260812536e+00
1.332094884252643574e+01,2.855199803107747680e+00
1.334095455844527045e+01,2.556326674276891087e+00
1.336096027436410338e+01,2.626827480851219754e+00
1.338096599028293809e+01,3.435334887420841810e+00
1.340097170620177280e+01,3.021283310498401597e+00
1.342097742212060574e+01,3.605022227190302964e+00
1.344098313803944045e+01,3.696397792135932114e+00
1.346098885395827338e+01,3.512926328995790826e+00
1.348099456987710809e+01,3.864875230877485190e+00
1.350100028579594280e+01,3.775951003575171772e+00
1.352100600171477573e+01,3.750067329674800831e+00
1.354101171763361044e+01,3.657846829705305503e+00
1.356101743355244338e+01,3.542689616389228746e+00
1.358102314947127809e+01,3.569512646058035088e+00
1.360102886539011102e+01,3.082957695267507070e+00
1.362103458130894573e+01,3.138129601158837989e+00
1.364104029722777867e+01,3.302341376059601430e+00
1.366104601314661338e+01,3.256696873543183823e+00
1.368105172906544809e+01,3.904832199650688729e+00
1.370105744498428102e+01,2.538301411805336194e+00
1.372106316090311573e+01,2.566158321612119320e+00
1.374106887682194866e+01,3.010596812933213684e+00
1.376107459274078337e+01,4.019218251043175982e+00
1.378108030865961808e+01,3.661262558801303690e+00
1.380108602457845102e+01,3.663004400877567512e+00
1.382109174049728573e+01,3.453337770678996943e+00
1.384109745641611866e+01,3.007296233808201880e+00
1.386110317233495337e+01,3.341677116199697650e+00
1.388110888825378808e+01,4.038020410322140208e+00
1.390111460417262101e+01,3.569920062027638785e+00
1.392112032009145395e+01,3.558119168015735134e+00
1.394112603601028866e+01,3.546442722093554156e+00
1.396113175192912337e+01,2.826148890569427419e+00
1.398113746784795630e+01,3.235359432481044628e+00
1.400114318376679101e+01,3.277684418985030490e+00
1.402114889968562395e+01,3.319634892066201992e+00
1.404115461560445866e+01,3.604116045222614417e+00
1.406116033152329337e+01,3.518998952313103334e+00
1.408116604744212630e+01,3.031226710956744785e+00
1.410117176336095923e+01,3.557585296952648690e+00
1.412117747927979394e+01,3.167667210797922905e+00
1.414118319519862865e+01,3.960038976975548852e+00
1.416118891111746336e+01,3.983273065149912195e+00
1.418119462703629630e+01,3.538926546105082949e+00
1.420120034295512923e+01,4.282469614734313978e+00
1.422120605887396394e+01,3.212206080324290891e+00
1.424121177479279865e+01,3.568186346173305878e+00
1.426121749071163336e+01,3.823937274458932833e+00
1.428122320663046629e+01,2.765192797770019251e+00
1.430122892254929923e+01,3.506980668297894788e+00
1.432123463846813394e+01,3.727012572499059928e+00
1.434124035438696865e+01,3.379890698919211012e+00
1.436124607030580158e+01,3.717101960186406373e+00
1.438125178622463629e+01,3.292616211937547721e+00
1.440125750214346922e+01,2.770880678041453660e+00
1.442126321806230393e+01,3.583830029925342053e+00
1.444126893398113864e+01,3.026790954493363994e+00
1.446127464989997158e+01,3.452873195669745598e+00
1.448128036581880451e+01,2.877130440711251236e+00
1.450128608173763922e+01,4.203861746953102774e+00
1.452129179765647393e+01,4.324632324373025583e+00
1.454129751357530864e+01,4.145437838354892435e+00
1.456130322949414158e+01,3.286205342003521768e+00
1.458130894541297451e+01,3.304802151527083343e+00
1.460131466133180922e+01,3.864977259795972397e+00
1.462132037725064393e+01,3.236213741195645532e+00
1.464132609316947686e+01,3.819807057853934040e+00
1.466133180908831157e+01,4.139425784764610761e+00
1.468133752500714451e+01,3.585972028805962442e+00
1.470134324092597922e+01,2.769547357129473308e+00
1.472134895684481393e+01,3.413941134817375822e+00
1.474135467276364686e+01,3.568966295968032831e+00
1.476136038868247979e+01,4.247303028233998745e+00
1.478136610460131450e+01,2.722394817257685506e+00
1.480137182052014921e+01,3.542943959800352260e+00
1.482137753643898392e+01,3.046418532733042639e+00
1.484138325235781686e+01,4.030405144614384483e+00
1.486138896827664979e+01,3.866453921955714357e+00
