angle,intensity
1.000000000000000000e+01,5.874665272621891532e+00
1.002000571591883471e+01,5.705522893094118864e+00
1.004001143183766764e+01,5.255814803321597672e+00
1.006001714775650235e+01,6.098714322186568282e+00
1.008002286367533529e+01,5.910320566584421620e+00
1.010002857959417000e+01,5.818923599842207750e+00
1.012003429551300293e+01,5.832846745196301086e+00
1.014004001143183764e+01,5.317530227917790953e+00
1.016004572735067235e+01,5.605815226873968271e+00
1.018005144326950528e+01,5.712675688619034631e+00
1.020005715918833999e+01,6.314780258600787732e+00
1.022006287510717293e+01,6.152508920726489805e+00
1.024006859102600764e+01,6.043120068205418249e+00
1.026007430694484057e+01,5.746031605362590611e+00
1.028008002286367528e+01,5.419611669403455068e+00
1.030008573878250999e+01,5.333605120929668431e+00
1.032009145470134293e+01,6.119999429758699705e+00
1.034009717062017764e+01,6.071905198646769364e+00
1.036010288653901057e+01,6.114801682522802651e+00
1.038010860245784528e+01,5.451981401603701372e+00
1.040011431837667999e+01,5.406148872760545565e+00
1.042012003429551292e+01,5.609966295499375200e+00
1.044012575021434763e+01,5.966390502899333370e+00
1.046013146613318057e+01,5.548898673640961121e+00
1.048013718205201528e+01,6.379768622854292026e+00
1.050014289797084821e+01,5.443063553524114973e+00
1.052014861388968292e+01,5.733041097443548395e+00
1.054015432980851585e+01,5.289112360789506084e+00
1.056016004572735056e+01,5.970671090437082995e+00
1.058016576164618527e+01,6.153797109077325800e+00
1.060017147756501821e+01,5.394433246676206828e+00
1.062017719348385292e+01,5.821599071193860553e+00
1.064018290940268585e+01,5.396638642226099236e+00
1.066018862532152056e+01,5.494672304751691883e+00
1.068019434124035527e+01,5.740939457329857554e+00
1.070020005715918820e+01,5.718171803332026570e+00
1.072020577307802292e+01,5.560784804560374717e+00
1.074021148899685585e+01,4.749032218548154383e+00
1.076021720491569056e+01,5.620802551357925836e+00
1.078022292083452349e+01,6.072988710091196118e+00
1.080022863675335820e+01,5.273037931553359314e+00
1.082023435267219291e+01,5.237168781718967381e+00
1.084024006859102585e+01,5.725609851918083137e+00
1.086024578450986056e+01,5.008912947422896167e+00
1.088025150042869349e+01,6.306459394920738148e+00
1.090025721634752820e+01,6.356360027884278452e+00
1.092026293226636113e+01,5.089198087850463459e+00
1.094026864818519584e+01,5.430034990443294518e+00
1.096027436410403055e+01,4.824141421006622465e+00
1.098028008002286349e+01,5.824209339281708253e+00
1.100028579594169820e+01,6.157403858712556577e+00
1.102029151186053113e+01,5.158393360069446487e+00
1.104029722777936584e+01,4.944932745521468220e+00
1.106030294369819877e+01,5.960782392931788465e+00
1.108030865961703348e+01,5.020598971791229381e+00
1.110031437553586819e+01,5.586389319272530685e+00
1.112032009145470113e+01,5.198817595983918238e+00
1.114032580737353584e+01,6.044123772489986557e+00
1.116033152329236877e+01,5.299966573455266783e+00
1.118033723921120348e+01,5.486307097582526993e+00
1.120034295513003642e+01,6.078291406860733659e+00
1.122034867104887113e+01,5.650120924641134579e+00
1.124035438696770584e+01,5.410334967897828307e+00
1.126036010288653877e+01,6.210702146111005462e+00
1.128036581880537348e+01,6.034944231495463995e+00
1.130037153472420641e+01,6.258772168260149371e+00
1.132037725064304112e+01,5.129646150013581263e+00
1.134038296656187583e+01,5.419566058898574568e+00
1.136038868248070877e+01,5.390459614501293295e+00
1.138039439839954348e+01,5.406470629484836365e+00
1.140040011431837641e+01,5.252277045396713362e+00
1.142040583023721112e+01,5.157037316882744804e+00
1.144041154615604405e+01,5.259351520427607340e+00
1.146041726207487876e+01,5.506657830888888938e+00
1.148042297799371170e+01,5.763950575813274746e+00
1.150042869391254641e+01,4.640443234298015973e+00
1.152043440983138112e+01,4.811914933059539656e+00
1.154044012575021405e+01,4.776479254303241717e+00
1.156044584166904876e+01,6.089569612428001655e+00
1.158045155758788169e+01,5.039620363042551787e+00
1.160045727350671640e+01,5.929786322235461427e+00
1.162046298942555111e+01,5.973483644178251062e+00
1.164046870534438405e+01,5.929213904199880147e+00
1.166047442126321876e+01,6.142566499162207094e+00
1.168048013718205169e+01,5.230823380991226124e+00
1.170048585310088640e+01,4.937445133117943641e+00
1.172049156901971934e+01,5.748625924631096673e+00
1.174049728493855405e+01,5.241646665354155132e+00
1.176050300085738698e+01,5.088446664991105983e+00
1.178050871677622169e+01,4.781245242437914378e+00
1.180051443269505640e+01,5.476198331693789889e+00
1.182052014861388933e+01,5.617882144173474757e+00
1.184052586453272404e+01,5.227942599993618877e+00
1.186053158045155698e+01,6.060711336896595469e+00
1.188053729637039169e+01,4.934123351364592125e+00
1.190054301228922640e+01,4.721338567312493240e+00
1.192054872820805933e+01,6.058156323430720747e+00
1.194055444412689404e+01,4.740898810845031619e+00
1.196056016004572697e+01,4.536162443950333412e+00
1.198056587596456168e+01,5.772044399798199166e+00
