angle,intensity
1.000000000000000000e+01,5.546795597664242905e+00
1.002000571591883471e+01,5.914850641320121838e+00
1.004001143183766764e+01,5.470113101179849835e+00
1.006001714775650235e+01,6.019623386475001503e+00
1.008002286367533529e+01,6.067749001389599606e+00
1.010002857959417000e+01,4.975441386242681396e+00
1.012003429551300293e+01,4.973185772316891295e+00
1.014004001143183764e+01,5.916581907173917187e+00
1.016004572735067235e+01,4.826037224763791045e+00
1.018005144326950528e+01,4.878388685691758653e+00
1.020005715918833999e+01,6.193126080594709926e+00
1.022006287510717293e+01,6.527824107098422424e+00
1.024006859102600764e+01,4.802292610256562178e+00
1.026007430694484057e+01,5.310580133984968754e+00
1.028008002286367528e+01,6.609282878063491573e+00
1.030008573878250999e+01,5.071366593005697254e+00
1.032009145470134293e+01,6.574108636744286471e+00
1.034009717062017764e+01,6.664890454028517652e+00
1.036010288653901057e+01,4.769876618500117793e+00
1.038010860245784528e+01,4.960640592689881778e+00
1.040011431837667999e+01,4.837401140134661937e+00
1.042012003429551292e+01,5.258512410255871572e+00
1.044012575021434763e+01,6.138591908329376068e+00
1.046013146613318057e+01,5.295885459715168331e+00
1.048013718205201528e+01,4.763631159022039263e+00
1.050014289797084821e+01,6.096179534557247592e+00
1.052014861388968292e+01,4.818377287995909697e+00
1.054015432980851585e+01,5.816416964473361872e+00
1.056016004572735056e+01,5.411404789490559253e+00
1.058016576164618527e+01,6.189001629505937352e+00
1.060017147756501821e+01,5.582731315896720226e+00
1.062017719348385292e+01,5.486952032457273809e+00
1.064018290940268585e+01,6.541005028564547352e+00
1.066018862532152056e+01,6.040859607493008987e+00
1.068019434124035527e+01,6.064114139910012469e+00
1.070020005715918820e+01,6.064277091506949269e+00
1.072020577307802292e+01,5.745684523442238678e+00
1.074021148899685585e+01,6.250575781415460774e+00
1.076021720491569056e+01,5.520569301321777367e+00
1.078022292083452349e+01,5.953762131914033695e+00
1.080022863675335820e+01,5.833601040239563496e+00
1.082023435267219291e+01,4.958579170668296676e+00
1.084024006859102585e+01,4.629531451470580095e+00
1.086024578450986056e+01,5.340202004701462890e+00
1.088025150042869349e+01,5.427447240222190494e+00
1.090025721634752820e+01,5.702832568233715094e+00
1.092026293226636113e+01,5.971121025424392492e+00
1.094026864818519584e+01,4.921320996467188458e+00
1.096027436410403055e+01,4.722842047435963586e+00
1.098028008002286349e+01,4.986097355450660018e+00
1.100028579594169820e+01,6.315147068381651074e+00
1.102029151186053113e+01,5.117105778529077220e+00
1.104029722777936584e+01,5.979200267411366454e+00
1.106030294369819877e+01,6.011398281113786268e+00
1.108030865961703348e+01,6.009501125031054158e+00
1.110031437553586819e+01,6.350601166160807942e+00
1.112032009145470113e+01,5.894187013487775850e+00
1.114032580737353584e+01,5.549464130624511604e+00
1.116033152329236877e+01,6.311510000124271436e+00
1.118033723921120348e+01,6.143224782925592820e+00
1.120034295513003642e+01,5.874097753222236484e+00
1.122034867104887113e+01,5.034844407988464887e+00
1.124035438696770584e+01,6.298146829206598518e+00
1.126036010288653877e+01,5.269918308343644497e+00
1.128036581880537348e+01,5.318367027008105374e+00
1.130037153472420641e+01,6.227823675540456350e+00
1.132037725064304112e+01,4.568228234039389157e+00
1.134038296656187583e+01,4.946517984605622864e+00
1.136038868248070877e+01,6.295471170438998954e+00
1.138039439839954348e+01,5.164337249523002882e+00
1.140040011431837641e+01,4.737182848516059863e+00
1.142040583023721112e+01,5.551529465822309994e+00
1.144041154615604405e+01,5.069126202079796251e+00
1.146041726207487876e+01,5.747234320935037388e+00
1.148042297799371170e+01,4.464339864008077363e+00
1.150042869391254641e+01,5.471485637922932632e+00
1.152043440983138112e+01,5.776239466899474984e+00
1.154044012575021405e+01,5.854826463935228098e+00
1.156044584166904876e+01,5.392936880843302028e+00
1.158045155758788169e+01,4.363253429415054896e+00
1.160045727350671640e+01,4.770194495658516942e+00
1.162046298942555111e+01,4.971677951606304546e+00
1.164046870534438405e+01,5.919190948055506496e+00
1.166047442126321876e+01,5.082845402180935501e+00
1.168048013718205169e+01,5.160115388274246762e+00
1.170048585310088640e+01,5.190320715970747401e+00
1.172049156901971934e+01,4.994691734411950357e+00
1.174049728493855405e+01,5.923828823324841508e+00
1.176050300085738698e+01,4.747263208099432141e+00
1.178050871677622169e+01,6.002717028036836489e+00
1.180051443269505640e+01,4.344471737447403115e+00
1.182052014861388933e+01,5.854872152056862511e+00
1.184052586453272404e+01,4.342904786628426272e+00
1.186053158045155698e+01,6.074142251501184475e+00
1.188053729637039169e+01,5.076666359624023350e+00
1.190054301228922640e+01,5.994604501272884356e+00
1.192054872820805933e+01,5.678592103210378106e+00
1.194055444412689404e+01,4.915503941509173025e+00
1.196056016004572697e+01,5.831697911113853827e+00
1.198056587596456168e+01,6.065290409637796643e+00
1.200057159188339639e+01,5.142125668844423458e+00
1.202057730780222933e+01,4.192566545177935922e+00
1.204058302372106226e+01,4.313309291681975743e+00
1.206058873963989697e+01,4.598963632792594680e+00
1.208059445555873168e+01,5.710080532343722481e+00
1.210060017147756461e+01,4.768146866793293803e+00
1.212060588739639932e+01,5.870811351810813150e+00
1.214061160331523226e+01,4.513323876017178549e+00
1.216061731923406697e+01,4.394531612563715051e+00
1.218062303515290168e+01,5.105629700187435560e+00
1.220062875107173461e+01,4.830609567660402170e+00
1.222063446699056932e+01,4.235545297945064291e+00
1.224064018290940226e+01,5.759532717272836777e+00
1.226064589882823697e+01,4.343460253505256219e+00
1.228065161474707168e+01,5.914401415602084988e+00
1.230065733066590461e+01,5.082951071554196787e+00
1.232066304658473754e+01,5.858057188013415129e+00
1.234066876250357225e+01,4.810493217912305219e+00
1.236067447842240696e+01,4.887445834037577264e+00
1.238068019434123990e+01,5.513100715176267208e+00
1.240068591026007461e+01,4.562948668627798909e+00
1.242069162617890754e+01,4.236140309716489583e+00
1.244069734209774225e+01,5.167651017894673515e+00
1.246070305801657696e+01,5.671076434818099088e+00
1.248070877393540989e+01,5.931866528149359219e+00
1.250071448985424460e+01,4.931111252601302120e+00
1.252072020577307754e+01,4.849865938879392324e+00
1.254072592169191225e+01,4.174784480574991186e+00
1.256073163761074696e+01,4.800082466736393272e+00
1.258073735352957989e+01,5.823157058516390983e+00
1.260074306944841460e+01,4.168693922266648144e+00
1.262074878536724754e+01,5.393122941981414620e+00
1.264075450128608225e+01,4.609240044396680780e+00
1.266076021720491518e+01,4.923404235709234023e+00
1.268076593312374989e+01,4.413239768469066071e+00
1.270077164904258282e+01,5.186323883227553111e+00
1.272077736496141753e+01,4.575912748553967013e+00
1.274078308088025224e+01,4.757965366724786982e+00
1.276078879679908518e+01,3.969932948894065561e+00
1.278079451271791989e+01,4.831938731191654846e+00
1.280080022863675282e+01,5.152371265896412034e+00
1.282080594455558753e+01,5.186065897652998302e+00
1.284081166047442224e+01,4.652179610209074667e+00
1.286081737639325517e+01,4.162902549081504588e+00
1.288082309231208988e+01,5.684021727743268748e+00
1.290082880823092282e+01,5.182909502747532038e+00
1.292083452414975753e+01,5.118585195383337449e+00
1.294084024006859224e+01,5.517414613040770632e+00
1.296084595598742517e+01,4.123584072157362002e+00
1.298085167190625810e+01,3.969119513615016359e+00
1.300085738782509281e+01,4.919566865414287449e+00
1.302086310374392752e+01,4.237281398946817212e+00
1.304086881966276046e+01,4.005551302400523817e+00
1.306087453558159517e+01,5.092044322774877507e+00
1.308088025150042810e+01,4.998094335552387690e+00
1.310088596741926281e+01,5.244370539911238360e+00
1.312089168333809752e+01,4.443787396071692264e+00
1.314089739925693046e+01,3.915967542814650315e+00
1.316090311517576517e+01,4.123153215216795786e+00
1.318090883109459810e+01,4.594571294319260701e+00
1.320091454701343281e+01,4.235562218360051645e+00
1.322092026293226752e+01,4.225197967263075505e+00
1.324092597885110045e+01,5.269263294627211103e+00
1.326093169476993339e+01,4.546569504509064608e+00
1.328093741068876810e+01,5.133130378946836991e+00
1.330094312660760281e+01,4.658449701246589747e+00
1.332094884252643574e+01,4.772002809242071208e+00
1.334095455844527045e+01,5.625640662247840318e+00
1.336096027436410338e+01,5.617722240557209368e+00
1.338096599028293809e+01,4.371627125858816854e+00
1.340097170620177280e+01,3.983093504359408232e+00
1.342097742212060574e+01,4.447183130646179094e+00
1.344098313803944045e+01,3.899875017406364996e+00
1.346098885395827338e+01,3.966957457289736588e+00
1.348099456987710809e+01,5.127644362775243714e+00
1.350100028579594280e+01,3.855363967301232098e+00
1.352100600171477573e+01,3.731070744197520384e+00
1.354101171763361044e+01,3.837419028948290567e+00
1.356101743355244338e+01,5.441214398907311178e+00
1.358102314947127809e+01,4.967792560260356538e+00
1.360102886539011102e+01,4.300002062346232279e+00
1.362103458130894573e+01,4.483424334304231706e+00
1.364104029722777867e+01,4.207687649075660730e+00
1.366104601314661338e+01,5.500375804642884781e+00
1.368105172906544809e+01,5.063476448023990883e+00
1.370105744498428102e+01,5.182110974454010588e+00
1.372106316090311573e+01,4.553947969599339451e+00
1.374106887682194866e+01,5.193328044641343233e+00
1.376107459274078337e+01,4.097193998571311724e+00
1.378108030865961808e+01,3.996853647722078851e+00
1.380108602457845102e+01,4.763498137638173091e+00
1.382109174049728573e+01,3.794109314011585354e+00
1.384109745641611866e+01,5.305876808275711731e+00
1.386110317233495337e+01,4.197515586364747087e+00
1.388110888825378808e+01,4.575658913240666870e+00
1.390111460417262101e+01,4.714389255843386195e+00
1.392112032009145395e+01,4.094491881336640660e+00
1.394112603601028866e+01,5.530869486178064065e+00
1.396113175192912337e+01,4.804475475736532886e+00
1.398113746784795630e+01,5.181901809853260765e+00
1.400114318376679101e+01,5.452840832881034494e+00
1.402114889968562395e+01,5.000977332125550845e+00
1.404115461560445866e+01,5.073042277523615695e+00
1.406116033152329337e+01,4.881401443013192676e+00
1.408116604744212630e+01,3.646366298272472939e+00
1.410117176336095923e+01,5.259428983503892319e+00
1.412117747927979394e+01,4.484985176267477947e+00
1.414118319519862865e+01,4.244023490193788106e+00
1.416118891111746336e+01,4.664924274052687281e+00
1.418119462703629630e+01,4.793803622343122406e+00
1.420120034295512923e+01,3.884987982530047734e+00
1.422120605887396394e+01,3.961771165969767861e+00
1.424121177479279865e+01,3.886728967278850533e+00
1.426121749071163336e+01,5.361436504189030394e+00
1.428122320663046629e+01,3.824635583808368100e+00
1.430122892254929923e+01,5.286296986180439639e+00
1.432123463846813394e+01,5.395305096512198695e+00
1.434124035438696865e+01,5.253066038388669590e+00
1.436124607030580158e+01,4.412773568556525028e+00
1.438125178622463629e+01,3.921931479492333228e+00
1.440125750214346922e+01,4.920461217978211899e+00
1.442126321806230393e+01,4.168122261137726881e+00
1.444126893398113864e+01,4.644623565504078400e+00
1.446127464989997158e+01,5.214594203424159247e+00
1.448128036581880451e+01,5.313689700458870568e+00
1.450128608173763922e+01,3.679607902876177228e+00
1.452129179765647393e+01,5.299093622252468272e+00
1.454129751357530864e+01,4.434169966139630326e+00
1.456130322949414158e+01,5.345848680772355088e+00
1.458130894541297451e+01,3.749661141097702988e+00
1.460131466133180922e+01,4.056630467243797611e+00
1.462132037725064393e+01,3.518642257451211286e+00
1.464132609316947686e+01,5.095549842311311473e+00
1.466133180908831157e+01,4.725451162657234860e+00
1.468133752500714451e+01,4.892076489666111527e+00
1.470134324092597922e+01,4.784818322384988498e+00
1.472134895684481393e+01,3.626353373299435745e+00
1.474135467276364686e+01,5.174712780300422921e+00
1.476136038868247979e+01,3.952920790480332514e+00
1.478136610460131450e+01,4.989619944383663075e+00
1.480137182052014921e+01,3.630503350168126975e+00
1.482137753643898392e+01,4.459058941192718173e+00
1.484138325235781686e+01,3.431157437923833875e+00
1.486138896827664979e+01,4.374872790925272703e+00
1.488139468419548450e+01,3.975768371291634296e+00
1.490140040011431921e+01,4.083537482851662404e+00
1.492140611603315392e+01,4.367361544081146185e+00
1.494141183195198685e+01,4.108119112701908549e+00
