angle,intensity
1.000000000000000000e+01,6.071802725840215409e+00
1.002000571591883471e+01,5.580249977384017512e+00
1.004001143183766764e+01,4.900987618259605938e+00
1.006001714775650235e+01,5.432511448027378620e+00
1.008002286367533529e+01,5.611500087648187751e+00
1.010002857959417000e+01,5.667909979807269849e+00
1.012003429551300293e+01,6.063258444338453401e+00
1.014004001143183764e+01,5.559428746993119397e+00
1.016004572735067235e+01,5.965214344607333352e+00
1.018005144326950528e+01,6.318083751915328783e+00
1.020005715918833999e+01,5.452784007585594672e+00
1.022006287510717293e+01,5.019688642482272201e+00
1.024006859102600764e+01,6.026454332122322732e+00
1.026007430694484057e+01,5.735890957452705941e+00
1.028008002286367528e+01,5.583996764224829157e+00
1.030008573878250999e+01,5.998756356366506282e+00
1.032009145470134293e+01,5.277043302196249286e+00
1.034009717062017764e+01,5.795302742372034466e+00
1.036010288653901057e+01,5.173613622079818342e+00
1.038010860245784528e+01,5.573405773617483128e+00
1.040011431837667999e+01,6.488127646686865369e+00
1.042012003429551292e+01,5.107501298374436338e+00
1.044012575021434763e+01,6.352575638968302130e+00
1.046013146613318057e+01,5.707920716828019714e+00
1.048013718205201528e+01,5.408785555163411196e+00
1.050014289797084821e+01,5.779025104024825055e+00
1.052014861388968292e+01,5.331032337458059267e+00
1.054015432980851585e+01,5.885015603960425778e+00
1.056016004572735056e+01,5.933716406152473866e+00
1.058016576164618527e+01,4.833118667207447317e+00
1.060017147756501821e+01,4.831045849992280594e+00
1.062017719348385292e+01,5.781975234893215188e+00
1.064018290940268585e+01,4.683152986568474674e+00
1.066018862532152056e+01,4.736110573652817735e+00
1.068019434124035527e+01,6.061266616218155434e+00
1.070020005715918820e+01,6.398764765311196534e+00
1.072020577307802292e+01,4.660018222567648749e+00
1.074021148899685585e+01,5.172454461376195134e+00
1.076021720491569056e+01,6.481449669238815936e+00
1.078022292083452349e+01,4.931775568504907170e+00
1.080022863675335820e+01,6.446395360047955769e+00
1.082023435267219291e+01,6.538078945460567226e+00
1.084024006859102585e+01,4.628530302440339916e+00
1.086024578450986056e+01,4.820972457265845890e+00
1.088025150042869349e+01,4.696969951855953340e+00
1.090025721634752820e+01,5.121549179753857040e+00
1.092026293226636113e+01,6.008663941728602964e+00
1.094026864818519584e+01,5.159600631390580894e+00
1.096027436410403055e+01,4.623402313523262919e+00
1.098028008002286349e+01,5.966501949595054199e+00
1.100028579594169820e+01,4.678959528726881700e+00
1.102029151186053113e+01,5.684949438745483974e+00
1.104029722777936584e+01,5.276980757215857132e+00
1.106030294369819877e+01,6.060813468996264497e+00
1.108030865961703348e+01,5.450021413954519112e+00
1.110031437553586819e+01,5.353688190711714867e+00
1.112032009145470113e+01,6.416124839575347849e+00
1.114032580737353584e+01,5.912281419590755149e+00
1.116033152329236877e+01,5.935906097282159344e+00
1.118033723921120348e+01,5.936259294559188326e+00
1.120034295513003642e+01,5.615378787088289414e+00
1.122034867104887113e+01,6.124382889531842622e+00
1.124035438696770584e+01,5.388889618303680074e+00
1.126036010288653877e+01,5.825637150537944287e+00
1.128036581880537348e+01,5.704728968154784141e+00
1.130037153472420641e+01,4.823091841300730209e+00
1.132037725064304112e+01,4.491672478302755955e+00
1.134038296656187583e+01,5.208053021816181349e+00
1.136038868248070877e+01,5.296161765748188976e+00
1.138039439839954348e+01,5.573872661291523478e+00
1.140040011431837641e+01,5.844431108623997950e+00
1.142040583023721112e+01,4.786654759593861996e+00
1.144041154615604405e+01,4.586816652029387598e+00
1.146041726207487876e+01,4.852301586632196795e+00
1.148042297799371170e+01,6.191865251437859818e+00
1.150042869391254641e+01,4.984693659500660345e+00
1.152043440983138112e+01,5.853671484064551400e+00
1.154044012575021405e+01,5.886301380790856186e+00
1.156044584166904876e+01,5.884570656855204973e+00
1.158045155758788169e+01,6.228502930584482122e+00
1.160045727350671640e+01,5.768721272081243967e+00
