angle,intensity
1.000000000000000000e+01,1.178661757293872014e+00
1.002000571591883471e+01,7.127166145091456961e-01
1.004001143183766764e+01,1.118763328969200943e+00
1.006001714775650235e+01,1.473678993566303275e+00
1.008002286367533529e+01,6.519080523613186573e-01
1.010002857959417000e+01,2.475997661083952361e-01
1.012003429551300293e+01,1.234082369709286198e+00
1.014004001143183764e+01,9.674152972198366562e-01
1.016004572735067235e+01,8.346757786300881277e-01
1.018005144326950528e+01,1.249268021386763960e+00
1.020005715918833999e+01,5.660870646987280486e-01
1.022006287510717293e+01,1.080618251959963638e+00
1.024006859102600764e+01,4.940187769554404418e-01
1.026007430694484057e+01,8.940837331453056480e-01
1.028008002286367528e+01,1.791518590320837490e+00
1.030008573878250999e+01,4.717848863201506981e-01
1.032009145470134293e+01,1.688283156013925090e+00
1.034009717062017764e+01,1.079413388317987499e+00
1.036010288653901057e+01,8.042750238655291817e-01
1.038010860245784528e+01,1.175690064914981070e+00
1.040011431837667999e+01,7.567307244288589141e-01
1.042012003429551292e+01,1.305595213640555530e+00
1.044012575021434763e+01,1.366373752797927388e+00
1.046013146613318057e+01,3.169903734281251939e-01
1.048013718205201528e+01,3.286905745933373924e-01
1.050014289797084821e+01,1.260909265912940613e+00
1.052014861388968292e+01,2.131892869953289638e-01
1.054015432980851585e+01,2.779935867670502714e-01
1.056016004572735056e+01,1.571638427684022954e+00
1.058016576164618527e+01,1.911255391165109119e+00
1.060017147756501821e+01,2.453432506882628206e-01
1.062017719348385292e+01,7.539043697951374190e-01
1.064018290940268585e+01,2.031870515380060915e+00
1.066018862532152056e+01,5.485383318645792317e-01
1.068019434124035527e+01,2.025089815525261017e+00
1.070020005715918820e+01,2.127164106578713465e+00
1.072020577307802292e+01,2.961663654865396844e-01
1.074021148899685585e+01,4.955326190852888391e-01
1.076021720491569056e+01,3.892177513738577788e-01
1.078022292083452349e+01,8.127787882014250176e-01
1.080022863675335820e+01,1.683100936264348535e+00
1.082023435267219291e+01,8.763755320638781932e-01
1.084024006859102585e+01,3.718396501532622023e-01
1.086024578450986056e+01,1.682561636296521446e+00
1.088025150042869349e+01,4.522443906497385369e-01
1.090025721634752820e+01,1.437307447695440832e+00
1.092026293226636113e+01,1.056565270498295961e+00
1.094026864818519584e+01,1.827005836684229889e+00
1.096027436410403055e+01,1.250316370408729449e+00
1.098028008002286349e+01,1.170542564993839241e+00
1.100028579594169820e+01,2.210045338294181594e+00
1.102029151186053113e+01,1.736610715011799533e+00
1.104029722777936584e+01,1.772657875182362286e+00
1.106030294369819877e+01,1.786209640972753920e+00
1.108030865961703348e+01,1.489454667069662008e+00
1.110031437553586819e+01,1.994295431208129799e+00
1.112032009145470113e+01,1.297019210817461188e+00
1.114032580737353584e+01,1.732031697590440844e+00
1.116033152329236877e+01,1.628369836694638195e+00
1.118033723921120348e+01,7.898786356324317692e-01
1.120034295513003642e+01,4.828439937777080360e-01
1.122034867104887113e+01,1.187896634591840472e+00
1.124035438696770584e+01,1.286064632281135989e+00
1.126036010288653877e+01,1.567358941234586744e+00
1.128036581880537348e+01,1.841727938277660792e+00
1.130037153472420641e+01,8.329988219897118684e-01
1.132037725064304112e+01,6.529635419701346200e-01
1.134038296656187583e+01,9.223823787615719194e-01
1.136038868248070877e+01,2.229272183728704615e+00
1.138039439839954348e+01,1.076171478791740466e+00
1.140040011431837641e+01,1.928474305131683275e+00
1.142040583023721112e+01,1.972905169536474324e+00
1.144041154615604405e+01,1.984129602318151830e+00
1.146041726207487876e+01,2.329224740849435538e+00
1.148042297799371170e+01,1.897970201243624366e+00
1.150042869391254641e+01,1.575423756088696337e+00
1.152043440983138112e+01,2.330234510704492834e+00
1.154044012575021405e+01,2.179406242994971876e+00
1.156044584166904876e+01,1.930397728767765386e+00
1.158045155758788169e+01,1.126388269272005971e+00
1.160045727350671640e+01,2.369075849109940179e+00
1.162046298942555111e+01,1.381076899283605997e+00
1.164046870534438405e+01,1.441142935292223370e+00
1.166047442126321876e+01,2.339332652556659564e+00
1.168048013718205169e+01,7.366854596838660063e-01
1.170048585310088640e+01,1.117782404339014546e+00
1.172049156901971934e+01,2.443746227596019782e+00
1.174049728493855405e+01,1.355475338161612919e+00
1.176050300085738698e+01,9.524703360984873024e-01
1.178050871677622169e+01,1.757976631532356171e+00
1.180051443269505640e+01,1.301157078351969698e+00
1.182052014861388933e+01,1.974010232270758003e+00
1.184052586453272404e+01,7.379268480120892981e-01
