angle,intensity
1.000000000000000000e+01,1.708277763288542861e+00
1.002000571591883471e+01,7.354585918337264161e-02
1.004001143183766764e+01,6.878241856457034675e-01
1.006001714775650235e+01,5.942965683737800875e-01
1.008002286367533529e+01,1.874606142717165858e+00
1.010002857959417000e+01,7.179729759446704662e-01
1.012003429551300293e+01,1.433725060655565375e+00
1.014004001143183764e+01,9.891110982949165020e-01
1.016004572735067235e+01,3.667436835564824582e-01
1.018005144326950528e+01,1.541514266687613322e-01
1.020005715918833999e+01,1.742654838585783628e+00
1.022006287510717293e+01,1.750717712857921660e+00
1.024006859102600764e+01,7.539191600210434219e-01
1.026007430694484057e+01,1.048899466521405532e+00
1.028008002286367528e+01,2.121547271386529654e-01
1.030008573878250999e+01,1.459107304985549858e+00
1.032009145470134293e+01,1.940957985929035345e+00
1.034009717062017764e+01,1.006537928978653795e+00
1.036010288653901057e+01,1.768362698870540539e+00
1.038010860245784528e+01,1.954718953367426959e-01
1.040011431837667999e+01,5.977150250258688180e-01
1.042012003429551292e+01,1.145964773707321527e+00
1.044012575021434763e+01,1.300767559441894150e+00
1.046013146613318057e+01,7.588220993678479465e-01
1.048013718205201528e+01,4.509249122499775497e-01
1.050014289797084821e+01,5.832676690627371929e-01
1.052014861388968292e+01,1.610851436638887524e+00
1.054015432980851585e+01,1.631644346274949697e+00
1.056016004572735056e+01,1.064718563894084591e+00
1.058016576164618527e+01,1.540169694604673456e+00
1.060017147756501821e+01,5.251141097133331659e-01
1.062017719348385292e+01,2.027172638544529004e+00
1.064018290940268585e+01,1.826893230516469790e+00
1.066018862532152056e+01,7.579495850262324419e-01
1.068019434124035527e+01,8.778500933374893123e-01
1.070020005715918820e+01,1.535424524737258212e+00
1.072020577307802292e+01,9.951206222637227761e-01
1.074021148899685585e+01,1.121794293862711900e+00
1.076021720491569056e+01,7.900658756833017771e-01
1.078022292083452349e+01,1.657148178516505643e+00
1.080022863675335820e+01,8.436001210739912937e-01
1.082023435267219291e+01,1.301326462371837689e+00
1.084024006859102585e+01,1.423758544223141742e+00
1.086024578450986056e+01,1.106368269437063567e+00
1.088025150042869349e+01,6.434159300610087229e-01
1.090025721634752820e+01,2.171093435392112969e+00
1.092026293226636113e+01,2.157193397940424529e+00
1.094026864818519584e+01,2.109579810333143346e+00
1.096027436410403055e+01,6.860346719893507528e-01
1.098028008002286349e+01,8.322430732798411501e-01
1.100028579594169820e+01,9.054727401088843441e-01
1.102029151186053113e+01,1.788160803076406902e+00
1.104029722777936584e+01,1.825000825196933407e+00
1.106030294369819877e+01,9.760593131684381918e-01
1.108030865961703348e+01,1.098985549010475626e+00
1.110031437553586819e+01,1.315822942132482742e+00
1.112032009145470113e+01,1.558350831134349690e+00
1.114032580737353584e+01,4.520479467363130999e-01
1.116033152329236877e+01,9.798663482203013864e-01
1.118033723921120348e+01,6.731825685577282892e-01
1.120034295513003642e+01,1.896227526770143390e+00
1.122034867104887113e+01,1.071266568274296338e+00
1.124035438696770584e+01,1.941930211456596389e+00
