sample_id,precision,recall,rwp
0,1.0,0.5,0.5309917159609593
1,0.0,0.0,1.0000000077255053
2,0.0,0.0,1.0000000212630915
3,0.0,0.0,1.000000009786707
4,0.0,0.0,1.0000000190121705
5,0.0,0.0,0.9999999567660912
6,1.0,0.3333333333333333,0.539698308697647
7,0.0,0.0,0.999999962746573
8,0.0,0.0,0.9999999893145033
9,0.0,0.0,1.0000000045939506
10,0.0,0.0,1.000000050371888
11,0.0,0.0,0.9999999786753305
12,0.0,0.0,1.0000000092728973
13,0.0,0.0,1.000000009593201
14,0.0,0.0,0.9999999727781764
15,0.0,0.0,0.9999999996082308
16,0.0,0.0,0.9999999718123713
17,0.0,0.0,1.000000022249438
18,0.0,0.0,0.3832539456511023
19,0.0,0.0,0.9999999766433681
20,0.0,0.0,0.9999999663587029
21,0.0,0.0,1.000000008028572
22,0.0,0.0,1.0000000248184757
23,0.0,0.0,0.9999999886580746
24,0.0,0.0,1.0000000525344326
25,0.0,0.0,1.0000000000004878
26,0.0,0.0,0.9999999991309961
27,0.0,0.0,0.9999999949815054
28,0.0,0.0,0.9999999909252143
29,0.0,0.0,1.0000000107048135
30,0.0,0.0,1.000000029334359
31,0.0,0.0,0.9999999866662662
32,0.0,0.0,0.9999999555911833
33,0.0,0.0,1.000000007428415
34,0.0,0.0,1.0000000433307221
35,0.0,0.0,0.999999995544771
36,0.0,0.0,0.9999999587410786
37,0.0,0.0,0.9999999714823807
38,0.0,0.0,0.9999999899757385
39,0.0,0.0,1.0000000060713485
40,0.0,0.0,1.0000000276823704
41,0.0,0.0,1.000000038403523
42,0.0,0.0,0.999999986042944
43,1.0,0.3333333333333333,0.37856330698563695
44,0.0,0.0,1.000000018905914
45,0.0,0.0,1.0000000056359426
46,0.0,0.0,0.9999999984712621
47,0.0,0.0,0.9999999955307579
48,0.0,0.0,1.0000000190007883
49,0.0,0.0,0.48997804213014007
50,0.0,0.0,0.9999999523568501
51,0.0,0.0,0.9999999893348538
52,0.0,0.0,0.9999999715594189
53,0.0,0.0,1.0000000680102148
54,0.0,0.0,0.8895742605737773
55,0.5,0.5,0.7283752602176502
56,0.0,0.0,0.4182563094982295
57,0.0,0.0,0.9999999865836747
58,0.0,0.0,1.0000000247135985
59,0.0,0.0,0.9999999994960924
60,0.0,0.0,1.0000000103551048
61,0.0,0.0,0.9999999941014542
62,0.0,0.0,0.9999999683648253
63,0.0,0.0,1.000000001345846
64,0.0,0.0,0.9999999725429946
65,0.0,0.0,0.9999999791286237
66,0.0,0.0,0.9999999731523536
67,0.0,0.0,1.0000000309862367
68,0.0,0.0,0.9999999916143416
69,0.0,0.0,0.9999999930748827
70,0.0,0.0,1.000000002086669
71,0.0,0.0,0.9999999869612693
72,0.0,0.0,1.000000049528244
73,0.0,0.0,1.0000000236648652
74,0.0,0.0,0.9999999978168251
75,0.0,0.0,1.0000000352994203
76,0.0,0.0,0.9999999958766621
77,0.0,0.0,1.0000000089781174
78,0.0,0.0,0.9999999988759466
79,0.0,0.0,0.9999999933248456
80,1.0,0.5,0.4998218096161696
81,0.0,0.0,1.0000000113420369
82,0.0,0.0,0.9999999636642388
83,0.0,0.0,0.4501720678931419
84,0.0,0.0,1.00000005112729
85,0.0,0.0,1.0000000286826287
86,0.0,0.0,0.9999999875920613
87,0.0,0.0,0.9999999719549526
88,0.0,0.0,1.0000000263153415
89,0.0,0.0,0.9999999988070947
90,0.0,0.0,1.0000000050536593
91,0.0,0.0,0.999999998750078
92,0.0,0.0,0.9999999660759711
93,0.0,0.0,1.000000034122702
94,0.0,0.0,1.0000000277658234
95,0.0,0.0,1.0000000255050654
96,0.0,0.0,0.9999999956318616
97,0.0,0.0,1.0000000259482238
98,0.0,0.0,0.9999999972926953
99,0.0,0.0,0.9999999966034898
100,0.0,0.0,1.0000000128863042
101,0.0,0.0,1.000000038110504
102,0.0,0.0,1.000000040248756
103,0.0,0.0,0.5779009478791346
104,0.0,0.0,0.9999999682448879
105,0.0,0.0,1.0000000146760115
106,0.0,0.0,0.5119657597654588
107,0.0,0.0,1.0000000504270568
108,0.0,0.0,0.9999999988001111
109,0.0,0.0,0.999999973353456
110,0.0,0.0,1.0000000340427557
111,0.0,0.0,0.9999999932898319
112,0.0,0.0,0.9999999769923127
113,0.0,0.0,0.9999999889859005
114,0.0,0.0,0.9999999770435232
115,0.0,0.0,0.9999999646341803
